Zhlokhov_Dog_Siberia_USA_HgA4_9500	Zhlokov_Siberia_Russia_HgA4_9500
WF66	WF66_Ammaia_Portugal_HgA_1859
WF65	WF65_Ammaia_Portugal_HgA_1859
WF62	WF62_Merida_Spain_HgA_1859
WF39_dF3_minDP3_minMQ30	cWF39_Merida_Spain_HgA_1970
WF39	WF39_Merida_Spain_HgA_1930
WF38_dF3_minDP3_minMQ30	cWF38_Merida_Spain_HgA_1980
WF38	WF38_Merida_Spain_HgA_1934
WF37_dF3_minDP3_minMQ30	cWF37_Merida_Spain_HgA_1835
WF37	WF37_Merida_Spain_HgA_1835
WF36_dF3_minDP3_minMQ30	cWF36_Merida_Spain_HgA_1920
WF36	WF36_Merida_Spain_HgA_1847
WF28	WF28_Muge_Portugal_HgI__582
WF_MO_1682_dF3_minDP3_minMQ30	WF_MO_1682_Icoana_Romania_HgD_10100
WF_MO_1680_dF3_minDP3_minMQ30	WF_MO_1680_Icoana_Romania_HgC_10050
WF_MO_1677_dF3_minDP3_minMQ30	WF_MO_1677_Icoana_Romania_HgC_8350
WF_MO_1123_dF3_minDP3_minMQ30	WF_MO_1123_Icoana_Romania_HgD_10050
UZAA02_Israel_Byzantine_1600	UZAA02_Uza_Israel_HgA_1600
UZAA01_Israel_Islamic_875	UZAA01_Uza_Israel_HgA_875
THRZ02_Israel_7000	THRZ02_Tel-Hreiz_Israel_HgA_7000
TGEZ06_Israel_Persian_est_2300	TGEZ06_Tel-Gezer_Israel_HgD_2300
Taimyr-1_Taimyr-Peninsula_Siberia_WOLF_34902	Taimyr-1_Taimyr-Peninsula_Siberia_WOLF_34902
SOT-01_Croatia_4900	SOTN01_Sotin_Croatia_HgD_4900
PRD10	PRD10_Boardwalk_Canada_HgA4b_1500
OL4223_Baikal_Russia_A_6075	OL4223_Pad--Kalashnikova_Russia_HgA_6900
OL4222_Greece_D_6500	OL4222_Skoteini-cave_Greece_HgD_6544
OL4061_Veretye_Russia_A_10842	OL4061_Veretye_Russia_HgA_10930
OL4029_Spain_C_5938	OL4029_Marizulo-Cave_Spain_HgC_6230
May4	May4_Mayapan_Yucatan_HgA4a1_1000
May3	May3_Mayapan_Yucatan_HgA4a1_1000
May2	May2_Mayapan_Yucatan_HgA4a1_1000
May10	May10_Mayapan_Yucatan_HgA4a1_1000
M-071203_Syria_WOLF_Hg/_0	MN071203_Syria_WOLF_Hg/_0
LYEP75_dF3_minDP3_minMQ30	cLYEP75_Muge_Portugal_HgIJ_7735
LYEP75	LYEP.75_Muge_Portugal_HgI_9685
LYEP74	LYEP74_Sado_Portugal_HgC_7583
LYEP53	LYEP53_ElCasetondelaEra_Spain_HgC_4545
LYEP51	LYEP51_ElCasetondelaEra_Spain_HgC_4545
LYEP27	LYEP27_Lexim_Portugal_HgD_3971
LYEP11	LYEP11_Leceia_Portugal_HgA_4406
LYEP05	LYEP05_Leceia_Portugal_HgC_5250
LB2	LB2_Little-Bear_Alabama_HgA4_5500
KX379529_Canis_lupus_familiaris_isolate_HXHdog_mitochondrion_complete_genome.	KX379529_HXH_Herxheim_Germany_HgC_7000
KX379528_Canis_lupus_familiaris_isolate_CTCdog_mitochondrion_complete_genome.	KX379528_CTC_Cherry-Tree-Cave_Germany_HgC_4700
KU291094_-icaragua_99H_Canis_lupus_familiaris	KU291094_Nicaragua_Dog_HgA4a_1_0
KU291073_SouthAfrica_Canis_lupus_familiaris	KU291073_South_Africa_Dog_HgA1a1b_14_0
KU291071_SouthAfrica_Canis_lupus_familiaris_isolate_874H	KU291071_South_Africa_Dog_HgB1_9_0
KU291069_SouthAfrica_Canis_lupus_familiaris	KU291069_South_Africa_Dog_HgA1a1a_3_0
